iter	RMSE
0	4.177077827
1	4.15155012
2	4.126221669
3	4.103209879
4	4.075384849
5	4.050903239
6	4.024937425
7	3.99991003
8	3.974400092
9	3.948562787
10	3.92455668
11	3.90087846
12	3.875473685
13	3.850495236
14	3.825474655
15	3.802412953
16	3.78154583
17	3.758762842
18	3.735680609
19	3.714167997
20	3.691755286
21	3.670930393
22	3.651072789
23	3.629525984
24	3.609692779
25	3.590210656
26	3.568384133
27	3.549653097
28	3.529134771
29	3.508113209
30	3.4880425
31	3.469553232
32	3.451534503
33	3.433529
34	3.41352778
35	3.394265456
36	3.374429923
37	3.35647624
38	3.339845263
39	3.320950559
40	3.302472759
41	3.284440071
42	3.268910094
43	3.252548998
44	3.236186728
45	3.218382096
46	3.203303393
47	3.190304464
48	3.17522782
49	3.15804826
50	3.14239115
51	3.12797004
52	3.111419508
53	3.096773235
54	3.082581991
55	3.067196753
56	3.051516986
57	3.036387633
58	3.022391182
59	3.007673533
60	2.992607754
61	2.980253261
62	2.965606438
63	2.952015273
64	2.940284219
65	2.926447456
66	2.914449036
67	2.90182534
68	2.890471222
69	2.879154733
70	2.866796453
71	2.853694019
72	2.841934216
73	2.829094483
74	2.816976506
75	2.805516473
76	2.793792133
77	2.782127169
78	2.770630036
79	2.759225354
80	2.748524372
81	2.7394639
82	2.729071138
83	2.718711752
84	2.708492461
85	2.698344426
86	2.688587572
87	2.679592781
88	2.668837328
89	2.659564799
90	2.649903061
91	2.63965283
92	2.630815799
93	2.621086802
94	2.611540519
95	2.602582876
96	2.593252363
97	2.583811099
98	2.574038323
99	2.565101323
100	2.557100899
101	2.548782111
102	2.540420468
103	2.532207489
104	2.523563781
105	2.514984283
106	2.505900532
107	2.498904324
108	2.490631179
109	2.483594864
110	2.475131838
111	2.46800474
112	2.460358713
113	2.453198684
114	2.445951251
115	2.437680025
116	2.430216588
117	2.423384336
118	2.417328152
119	2.410089605
120	2.403581453
121	2.396760884
122	2.390064391
123	2.383626878
124	2.377753767
125	2.372558787
126	2.365195785
127	2.358546896
128	2.352045358
129	2.34540695
130	2.339314699
131	2.333839834
132	2.327504942
133	2.321967124
134	2.31576828
135	2.309295275
136	2.304430768
137	2.298422704
138	2.292147173
139	2.286215031
140	2.280258379
141	2.274975138
142	2.269338715
143	2.264742262
144	2.259238481
145	2.253117981
146	2.247537405
147	2.242476052
148	2.236770003
149	2.232331748
150	2.22701908
151	2.221707921
152	2.216076088
153	2.211548945
154	2.206309877
155	2.201535672
156	2.19604859
157	2.191495832
158	2.186800042
159	2.182772601
160	2.177877899
161	2.172976557
162	2.168930888
163	2.163979928
164	2.160102202
165	2.155730876
166	2.151897104
167	2.147263228
168	2.143970556
169	2.140577485
170	2.136303685
171	2.132254016
172	2.127812051
173	2.124110033
174	2.119664133
175	2.115970484
176	2.112720682
177	2.108530622
178	2.105377374
179	2.101357113
180	2.09768254
181	2.093856614
182	2.090215212
183	2.087717398
184	2.08426081
185	2.08076582
186	2.077492267
187	2.074221408
188	2.071118802
189	2.067857106
190	2.064821475
191	2.061435662
192	2.058099639
193	2.054931372
194	2.051565423
195	2.048660597
196	2.045293173
197	2.042511498
198	2.039544655
199	2.035924245
200	2.032989901
201	2.029542234
202	2.026261109
203	2.02286109
204	2.019811871
205	2.016806593
206	2.014093486
207	2.011346133
208	2.008081471
209	2.005450128
210	2.002501129
211	1.999426106
212	1.997274009
213	1.994901237
214	1.991883558
215	1.989456028
216	1.986993583
217	1.984419417
218	1.982127375
219	1.979518319
220	1.977078131
221	1.975190413
222	1.972559608
223	1.969813809
224	1.966878472
225	1.964017368
226	1.961922189
227	1.960318026
